ign,club,world_role,data_role,world_overall,new_overall,current_rebuilt,delta,events,rounds_w,new_aim,new_reaction,new_awareness,new_utility,new_clutch,new_teamwork,world_aim,world_reaction,world_awareness,world_utility,world_clutch,world_teamwork,conf_aim,conf_reaction,conf_awareness,conf_utility,conf_clutch,conf_teamwork,flags
reazy,FF,控场,控场,70,71,69,1,4,408,69,72,77,67,79,70,59,61,73,77,66,73,0.51,0.57,0.51,0.51,0.69,0.51,
frz,2G,先锋,先锋,66,65,61,-1,3,158,69,68,69,65,70,65,62,63,67,73,65,65,0.28,0.34,0.28,0.28,0.57,0.28,
brawk,NRG,先锋,先锋,93,92,89,-1,8,1847,87,91,89,81,74,86,87,78,98,97,88,94,0.82,0.85,0.82,0.82,0.92,0.82,
SpiritZ1,DRG,决斗者,决斗者,75,74,74,-1,8,1637,80,75,65,68,69,68,85,82,66,64,68,65,0.8,0.92,0.8,0.8,0.27,0.8,
HYUNMIN,KRX,决斗者,决斗者,83,82,85,-1,8,1605,86,82,82,67,60,76,92,90,83,69,79,77,0.8,0.91,0.8,0.8,0.88,0.8,
xenom,2G,控场,控场,82,81,79,-1,6,586,71,81,84,77,72,80,67,75,87,89,77,89,0.59,0.66,0.59,0.59,0.79,0.59,
Rarga,XLG,决斗者,决斗者,81,80,82,-1,10,1845,80,82,78,64,75,72,89,87,78,66,84,74,0.82,0.93,0.82,0.82,0.62,0.82,
free1ng,KRX,决斗者,决斗者,71,70,70,-1,8,1605,63,66,83,65,86,69,71,73,70,65,79,67,0.8,0.91,0.8,0.8,0.89,0.8,
coconut,FPX,先锋,先锋,75,74,74,-1,8,1386,73,66,76,75,67,73,68,64,82,86,72,82,0.78,0.76,0.78,0.78,0.3,0.78,
Sato,LEV,决斗者,决斗者,92,93,88,1,5,1465,86,82,87,92,71,93,95,94,85,82,86,88,0.79,0.9,0.79,0.79,0.82,0.79,
v1c,C9,控场,控场,89,90,86,1,6,1082,73,76,84,84,95,89,79,78,91,94,91,94,0.73,0.81,0.73,0.73,0.88,0.73,
zander,100T,控场,控场,76,75,78,-1,3,294,71,75,71,74,77,76,70,70,74,80,76,80,0.42,0.6,0.42,0.42,0.59,0.42,
Proxh,M8,控场,控场,70,71,68,1,2,450,68,62,70,76,70,75,58,58,72,80,59,77,0.53,0.58,0.53,0.53,0.73,0.53,
Ash,GEN,决斗者,决斗者,78,77,76,-1,6,1084,65,69,85,78,81,80,74,78,81,74,83,79,0.73,0.85,0.73,0.73,0.84,0.73,
DaviH,LOUD,先锋,先锋,76,77,75,1,1,643,64,76,88,73,77,77,62,63,84,84,76,83,0.62,0.55,0.62,0.62,0.85,0.62,
blowz,LEV,先锋,先锋,88,89,83,1,4,1288,75,87,99,76,74,87,76,72,94,90,84,91,0.76,0.74,0.76,0.76,0.88,0.76,
zerona,EG,决斗者,决斗者,75,74,73,-1,2,497,73,74,74,80,53,77,81,78,72,73,66,73,0.55,0.71,0.55,0.55,0.7,0.55,
Jerrwin,SEN,决斗者,决斗者,59,60,59,1,2,596,63,69,60,69,59,66,63,73,49,53,51,51,0.6,0.85,0.6,0.6,0.6,0.6,
C1ndeR,VL,控场,控场,59,60,58,1,3,557,55,52,59,77,63,67,49,49,55,74,50,62,0.58,0.66,0.58,0.58,0.77,0.58,
Flicker,KRX,决斗者,决斗者,53,54,52,1,1,194,58,49,63,73,73,69,50,59,48,54,55,52,0.33,0.55,0.33,0.33,0.23,0.33,
lovers rock,BBL,决斗者,决斗者,83,82,84,-1,4,852,72,97,83,61,71,70,87,93,82,68,85,75,0.68,0.86,0.68,0.68,0.81,0.68,
Loita,BBL,控场,控场,87,86,84,-1,4,852,78,63,74,88,92,81,81,78,85,95,91,90,0.68,0.76,0.68,0.68,0.84,0.68,
azury,SGE,控场,控场,79,80,91,1,1,236,77,83,83,75,60,81,71,69,83,84,71,82,0.37,0.4,0.37,0.37,0.64,0.37,
Jamelinho213,SGE,决斗者,决斗者,74,75,80,1,1,236,77,78,67,69,70,71,80,84,63,61,72,62,0.37,0.7,0.37,0.37,0.44,0.37,
Spear,EF,决斗者,决斗者,65,64,67,-1,1,275,70,65,64,75,52,69,72,72,58,61,58,58,0.41,0.64,0.41,0.41,0.49,0.41,
iluri,EP,先锋,先锋,61,62,61,1,1,312,71,66,65,60,92,57,55,51,62,71,65,60,0.44,0.5,0.44,0.44,0.69,0.44,
Lime,EP,决斗者,决斗者,69,70,64,1,1,312,68,72,75,77,60,77,72,74,66,64,63,69,0.44,0.67,0.44,0.44,0.47,0.44,
audaz,EF,控场,控场,78,77,77,-1,3,829,68,75,78,75,80,76,67,63,84,86,74,84,0.67,0.7,0.67,0.67,0.87,0.67,
qpert,PCF,控场,控场,63,64,63,1,3,648,60,53,64,75,69,71,51,48,65,75,52,70,0.62,0.7,0.62,0.62,0.82,0.62,
Erv,TYL,控场,控场,90,89,91,-1,3,1189,80,80,87,85,71,88,87,77,93,96,84,95,0.75,0.79,0.75,0.75,0.0,0.75,clutch:no-data
Layla,AT,哨卫,哨卫,68,69,79,1,1,112,75,73,63,69,71,66,73,73,60,71,73,63,0.22,0.42,0.22,0.22,0.0,0.22,clutch:no-data
iamgrq,AG,控场,控场,81,80,82,-1,4,1215,74,69,76,83,72,85,75,68,85,90,75,89,0.75,0.81,0.75,0.75,0.31,0.75,
Xlele,FPX,决斗者,决斗者,72,71,74,-1,2,712,71,73,77,63,71,70,78,69,73,62,72,68,0.64,0.79,0.64,0.64,0.0,0.64,clutch:no-data
qiutiaN,NOVA,先锋,先锋,69,70,67,1,3,761,70,70,69,71,71,72,62,60,71,79,68,71,0.66,0.73,0.66,0.66,0.0,0.66,clutch:no-data
Sharks,XLG,决斗者,决斗者,68,69,71,1,1,45,71,69,68,71,71,71,67,65,70,66,77,63,0.1,0.32,0.1,0.1,0.0,0.1,clutch:no-data
jowa,WOL,控场,控场,73,74,74,1,2,351,70,66,69,79,71,77,66,67,71,79,65,77,0.47,0.58,0.47,0.47,0.0,0.47,clutch:no-data
Inspire,ENVY,控场,控场,68,67,82,-1,1,150,77,76,71,63,67,64,68,68,67,70,73,64,0.27,0.39,0.27,0.27,0.6,0.27,
saadhak,KRÜ,控场,控场,73,73,68,0,9,1133,64,60,61,84,86,75,61,65,66,83,70,76,0.74,0.84,0.74,0.74,0.84,0.74,
Klaus,KRÜ,控场,先锋,70,70,62,0,3,64,70,73,70,70,70,71,65,67,67,79,73,66,0.14,0.23,0.14,0.14,0.2,0.14,
jkuro,JDG,控场,决斗者,73,73,71,0,9,1506,63,55,77,91,71,82,71,66,69,82,76,74,0.79,0.86,0.79,0.79,0.0,0.79,clutch:no-data
Yuicaw,JDG,哨卫,哨卫,77,77,74,0,10,1653,75,71,69,86,65,82,80,75,76,82,81,76,0.81,0.87,0.81,0.81,0.43,0.81,
vo0kashu,DRG,哨卫,哨卫,92,92,89,0,11,1708,97,95,95,74,56,87,94,87,97,85,95,87,0.81,0.83,0.81,0.81,0.34,0.81,
xffero,RRQ,控场,哨卫,83,83,80,0,11,1613,74,77,85,80,73,83,81,78,90,87,87,81,0.8,0.85,0.8,0.8,0.92,0.8,
OBONE,NOVA,控场,控场,65,65,67,0,4,211,70,62,64,70,71,65,62,56,61,74,69,64,0.35,0.32,0.35,0.35,0.0,0.35,clutch:no-data
Levius,BLG,哨卫,哨卫,64,64,64,0,6,531,63,64,75,70,56,70,62,58,67,69,62,64,0.57,0.63,0.57,0.57,0.43,0.57,
spike,LEV,决斗者,决斗者,85,85,79,0,5,1384,76,80,76,84,85,86,82,85,74,74,83,78,0.78,0.92,0.78,0.78,0.74,0.78,
batujnax,FF,先锋,先锋,70,70,67,0,4,541,74,71,66,73,61,72,68,65,68,78,60,72,0.57,0.72,0.57,0.57,0.75,0.57,
BerserX,TS,控场,哨卫,71,71,71,0,5,493,67,71,77,70,68,76,68,73,74,70,71,69,0.55,0.66,0.55,0.55,0.79,0.55,
Jackk,C9,先锋,先锋,81,81,78,0,2,487,71,75,84,78,72,80,69,65,89,89,78,88,0.55,0.51,0.55,0.55,0.81,0.55,
STYRON,TS,先锋,先锋,71,71,71,0,1,352,72,81,72,69,69,71,61,61,77,79,64,76,0.47,0.53,0.47,0.47,0.75,0.47,
Xan,RRQ,决斗者,决斗者,65,65,63,0,1,348,68,65,65,65,79,66,68,74,56,55,67,56,0.46,0.71,0.46,0.46,0.51,0.46,
Pa1ze,JL,决斗者,决斗者,79,79,83,0,1,280,78,84,68,70,74,71,87,89,67,64,80,65,0.41,0.75,0.41,0.41,0.37,0.41,
KROSTALY,FUT,先锋,先锋,76,76,72,0,4,1297,72,76,80,69,88,74,66,67,82,82,77,80,0.76,0.79,0.76,0.76,0.88,0.76,
Rosé,BBL,先锋,先锋,57,57,56,0,4,852,65,60,60,64,65,59,51,49,55,69,56,56,0.68,0.77,0.68,0.68,0.82,0.68,
splash,TYL,决斗者,决斗者,90,90,90,0,3,1189,91,84,78,78,71,83,94,96,84,76,96,84,0.75,0.9,0.75,0.75,0.0,0.75,clutch:no-data
Setrod,FPX,决斗者,决斗者,73,73,72,0,3,689,70,78,78,67,71,71,76,75,71,65,74,67,0.63,0.82,0.63,0.63,0.0,0.63,clutch:no-data
Au1,AG,控场,控场,60,60,63,0,2,248,69,68,66,66,49,64,56,56,59,68,52,58,0.38,0.44,0.38,0.38,0.46,0.38,
infiltrator,KRÜ,决斗者,决斗者,65,65,63,0,1,96,71,61,65,71,71,70,70,74,58,59,62,56,0.19,0.44,0.19,0.19,0.19,0.19,
d3mur,ULF,决斗者,决斗者,61,61,57,0,1,103,67,53,65,65,89,64,64,69,51,54,64,52,0.2,0.46,0.2,0.2,0.29,0.2,
